               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03582,            0.020233,            0.055803,            0.032311,             0.99763,            0.096571,            0.052118,            0.010601,           0.0044132,            0.026286,            0.070048,            0.003328,            0.003328
                   1,            0.023311,             0.01312,            0.052657,             0.67263,             0.16848,             0.17601,             0.12388,           0.0096775,           0.0036824,            0.024236,            0.039982,           0.0065954,           0.0065954
                   2,            0.023126,            0.011987,            0.048452,             0.55988,             0.42996,             0.40063,             0.27263,           0.0096069,           0.0033182,            0.018667,           0.0098501,           0.0097968,           0.0097968
                   3,             0.02087,            0.011513,            0.040919,             0.57898,             0.74521,             0.70157,             0.52486,           0.0073035,           0.0030903,             0.01256,            0.009703,            0.009703,            0.009703
                   4,            0.019462,            0.011116,             0.03512,             0.65506,             0.84056,             0.79682,             0.61453,           0.0067699,           0.0031604,           0.0089595,            0.009703,            0.009703,            0.009703
                   5,            0.018113,             0.01077,            0.030638,             0.78122,             0.89036,             0.86007,             0.69496,           0.0062046,           0.0029653,           0.0064727,            0.009604,            0.009604,            0.009604
                   6,            0.017741,            0.010707,            0.027967,             0.79638,             0.89697,             0.89055,             0.72274,           0.0060645,           0.0029321,           0.0054272,            0.009505,            0.009505,            0.009505
                   7,            0.016943,            0.010325,            0.026034,             0.85307,             0.93247,             0.91475,             0.73579,           0.0063914,           0.0030159,           0.0043842,            0.009406,            0.009406,            0.009406
                   8,            0.016755,            0.010386,            0.025007,             0.89014,             0.94067,             0.94686,             0.75193,           0.0063288,           0.0030463,           0.0035769,            0.009307,            0.009307,            0.009307
                   9,             0.01678,            0.010224,            0.024081,             0.90311,             0.94903,             0.97026,             0.79736,           0.0060116,           0.0028973,           0.0029857,            0.009208,            0.009208,            0.009208
                  10,            0.015976,            0.010054,            0.021433,             0.95608,             0.96033,             0.98294,             0.78385,           0.0059436,           0.0029477,           0.0022788,            0.009109,            0.009109,            0.009109
                  11,            0.015711,            0.010124,             0.02172,             0.96459,             0.97211,             0.98764,             0.83043,           0.0050486,           0.0028383,           0.0016027,             0.00901,             0.00901,             0.00901
                  12,              0.0153,            0.010065,            0.019988,             0.96016,             0.98814,             0.99112,             0.83861,           0.0050695,            0.002725,           0.0013999,            0.008911,            0.008911,            0.008911
                  13,             0.01514,           0.0098812,            0.019829,             0.98345,             0.98455,             0.99056,             0.84099,           0.0045645,           0.0026879,           0.0013438,            0.008812,            0.008812,            0.008812
                  14,            0.015262,           0.0099181,            0.019588,             0.96383,             0.98052,             0.99045,             0.81136,           0.0054336,           0.0029644,           0.0012186,            0.008713,            0.008713,            0.008713
                  15,            0.014849,           0.0096818,            0.018084,             0.99279,             0.99189,             0.99264,             0.84918,           0.0048367,            0.002692,          0.00093853,            0.008614,            0.008614,            0.008614
                  16,            0.015091,           0.0095576,            0.018265,             0.99173,             0.98802,             0.99296,             0.85862,           0.0043735,           0.0026644,          0.00090203,            0.008515,            0.008515,            0.008515
                  17,            0.014433,           0.0093955,             0.01677,             0.98697,             0.98932,             0.99278,              0.8546,           0.0043907,           0.0026346,          0.00077128,            0.008416,            0.008416,            0.008416
                  18,            0.014502,           0.0094366,            0.016572,             0.99017,             0.99379,             0.99273,             0.85675,           0.0044809,           0.0026625,          0.00063273,            0.008317,            0.008317,            0.008317
                  19,            0.014252,           0.0096082,            0.016868,             0.98995,             0.99479,             0.99275,             0.85878,           0.0043887,           0.0026639,          0.00055595,            0.008218,            0.008218,            0.008218
                  20,            0.014006,            0.009382,            0.016087,             0.98326,             0.99373,             0.99326,             0.85868,           0.0041895,           0.0026443,          0.00052442,            0.008119,            0.008119,            0.008119
                  21,             0.01366,           0.0093327,            0.015031,             0.99066,             0.99154,             0.99302,             0.85281,           0.0041805,           0.0026257,          0.00064631,             0.00802,             0.00802,             0.00802
                  22,            0.013603,           0.0092965,            0.014797,             0.98834,             0.99615,             0.99307,             0.86549,           0.0039282,           0.0026349,          0.00060841,            0.007921,            0.007921,            0.007921
                  23,            0.013695,           0.0090213,            0.014391,             0.98725,             0.99329,               0.993,             0.86602,           0.0040498,           0.0025609,          0.00049419,            0.007822,            0.007822,            0.007822
                  24,             0.01328,           0.0089474,            0.013811,             0.98629,             0.99529,             0.99307,             0.86453,           0.0041743,           0.0025269,          0.00054039,            0.007723,            0.007723,            0.007723
                  25,            0.013544,            0.009117,            0.013994,             0.99216,              0.9936,             0.99327,             0.86772,           0.0040527,             0.00254,           0.0004124,            0.007624,            0.007624,            0.007624
                  26,            0.013173,           0.0090416,            0.014701,             0.98477,             0.99437,              0.9935,              0.8717,           0.0040995,           0.0024953,          0.00042533,            0.007525,            0.007525,            0.007525
                  27,            0.012969,           0.0089677,            0.013382,             0.99118,             0.99565,             0.99349,             0.86989,            0.003877,           0.0025218,          0.00040072,            0.007426,            0.007426,            0.007426
                  28,            0.012949,            0.008976,            0.013729,             0.99081,             0.99618,             0.99354,             0.87259,           0.0041335,           0.0025049,          0.00039813,            0.007327,            0.007327,            0.007327
                  29,            0.013049,           0.0088698,            0.013092,             0.99098,             0.99671,             0.99272,             0.87021,           0.0038731,           0.0024991,           0.0004948,            0.007228,            0.007228,            0.007228
                  30,            0.012927,           0.0089008,            0.012723,             0.98972,             0.99749,             0.99372,              0.8705,            0.003922,           0.0025113,          0.00039831,            0.007129,            0.007129,            0.007129
                  31,            0.012695,           0.0088889,            0.013208,             0.99233,             0.99608,             0.99343,             0.87287,           0.0038412,           0.0025492,          0.00034817,             0.00703,             0.00703,             0.00703
                  32,            0.012617,           0.0088326,            0.012347,             0.99426,             0.99655,              0.9929,             0.87173,           0.0037599,           0.0024888,           0.0004145,            0.006931,            0.006931,            0.006931
                  33,            0.012875,           0.0087611,            0.012461,             0.98788,             0.99636,             0.99253,             0.87029,           0.0038741,           0.0025176,          0.00034561,            0.006832,            0.006832,            0.006832
                  34,            0.012612,           0.0088773,            0.011906,              0.9923,             0.99424,             0.99319,             0.88196,           0.0036446,           0.0024189,          0.00030334,            0.006733,            0.006733,            0.006733
                  35,            0.012961,           0.0088571,            0.012118,               0.991,             0.99786,             0.99341,             0.87715,           0.0036519,            0.002445,          0.00031581,            0.006634,            0.006634,            0.006634
                  36,            0.012421,            0.008634,            0.011236,             0.98879,             0.99795,             0.99318,             0.88188,           0.0036807,            0.002453,          0.00024801,            0.006535,            0.006535,            0.006535
                  37,            0.012349,           0.0085511,             0.01044,              0.9865,             0.99606,              0.9924,             0.88116,           0.0035543,           0.0024333,          0.00031915,            0.006436,            0.006436,            0.006436
                  38,            0.012059,           0.0085292,            0.011278,             0.99428,              0.9957,             0.99348,             0.88461,            0.003447,            0.002402,          0.00024105,            0.006337,            0.006337,            0.006337
                  39,             0.01246,           0.0086931,            0.011362,             0.99507,             0.99647,             0.99364,             0.88337,           0.0035547,           0.0023641,          0.00023763,            0.006238,            0.006238,            0.006238
                  40,            0.012103,           0.0085928,            0.011194,             0.99165,             0.99656,             0.99301,             0.88853,            0.003389,           0.0024032,          0.00025998,            0.006139,            0.006139,            0.006139
                  41,            0.011909,           0.0084504,            0.010198,             0.99555,             0.99288,             0.99332,              0.8831,           0.0034639,           0.0023893,          0.00020496,             0.00604,             0.00604,             0.00604
                  42,            0.011756,           0.0084575,            0.010083,             0.98885,             0.99875,             0.99341,              0.8865,           0.0034744,           0.0024137,          0.00023494,            0.005941,            0.005941,            0.005941
                  43,            0.011569,           0.0084416,           0.0095587,             0.99018,             0.99852,             0.99347,             0.88712,           0.0034335,           0.0023901,          0.00021252,            0.005842,            0.005842,            0.005842
                  44,            0.011793,           0.0083343,            0.010163,              0.9909,             0.99571,             0.99274,             0.89174,           0.0033588,           0.0023488,           0.0002242,            0.005743,            0.005743,            0.005743
                  45,            0.011906,           0.0085345,             0.01029,             0.98877,             0.99608,             0.99277,             0.88803,           0.0033414,           0.0023686,          0.00022861,            0.005644,            0.005644,            0.005644
                  46,            0.011552,           0.0085087,            0.009523,             0.99103,             0.99757,              0.9934,             0.88792,           0.0034087,            0.002414,          0.00017399,            0.005545,            0.005545,            0.005545
                  47,            0.011588,           0.0083342,            0.010173,             0.99336,             0.99708,             0.99344,             0.89126,           0.0032963,           0.0023406,          0.00017157,            0.005446,            0.005446,            0.005446
